,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
313,Up,2009,88.0,8.2,88.0,955300,293.0
314,Platoon,1986,92.0,8.1,92.0,387819,138.53
315,Blazing Saddles,1974,73.0,7.7,73.0,128153,119.5
316,Lawrence of Arabia,1962,100.0,8.3,100.0,273110,44.82
317,Star Trek Into Darkness,2013,72.0,7.7,72.0,467067,228.78
318,Deliverance,1972,80.0,7.7,80.0,100463,7.06
319,Dallas Buyers Club,2013,80.0,8.0,80.0,452015,27.3
320,Apollo 13,1995,77.0,7.6,77.0,275209,173.84
321,Citizen Kane,1941,100.0,8.3,100.0,413082,1.59
322,Amélie,2001,69.0,8.3,69.0,714494,33.23
323,Some Like It Hot,1959,98.0,8.2,98.0,248394,25.0
324,The Lives of Others,2006,89.0,8.4,89.0,365977,11.29
325,The Deer Hunter,1978,86.0,8.1,86.0,317190,48.98
326,Toy Story 4,2019,84.0,7.7,84.0,213297,434.04
327,Taken,2008,51.0,7.8,51.0,571714,145.0
328,The Thin Red Line,1998,78.0,7.6,78.0,175956,36.4
329,Remember the Titans,2000,48.0,7.8,48.0,201238,115.65
330,Seven Samurai,1954,98.0,8.6,98.0,321910,0.27
331,Lost in Translation,2003,89.0,7.7,89.0,423799,44.59
332,True Grit,2010,80.0,7.6,80.0,317833,171.24
333,The Boy in the Striped Pajamas,2008,55.0,7.8,55.0,195088,9.03
334,What We Do in the Shadows,2014,76.0,7.7,76.0,162216,3.33
335,Lion,2016,69.0,8.0,69.0,220091,51.74
336,WALL·E,2008,95.0,8.4,95.0,1021198,223.81
337,Blue Velvet,1986,76.0,7.7,76.0,184846,8.55
338,"Paris, Texas",1984,78.0,8.1,78.0,95276,2.18
339,Kill Bill: Vol. 2,2004,83.0,8.0,83.0,696383,66.21
340,The Warriors,1979,65.0,7.6,65.0,95679,22.49
341,Frankenstein,1931,91.0,7.8,91.0,66523,
342,Rain Man,1988,65.0,8.0,65.0,481231,178.8
343,Cinema Paradiso,1988,80.0,8.5,80.0,237185,11.99
344,Grave of the Fireflies,1988,94.0,8.5,94.0,243830,
345,Mary Poppins,1964,88.0,7.8,88.0,160647,102.27
346,Hunt for the Wilderpeople,2016,81.0,7.9,81.0,116214,5.2
347,Papillon,1973,58.0,8.0,58.0,123861,53.27
348,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,97.0,8.4,97.0,458064,0.28
349,Vertigo,1958,100.0,8.3,100.0,371985,3.2
350,Dark Waters,2019,73.0,7.6,73.0,68231,
351,Sense and Sensibility,1995,84.0,7.7,84.0,105123,43.18
352,Fear and Loathing in Las Vegas,1998,41.0,7.6,41.0,263978,10.68
353,How to Train Your Dragon,2010,75.0,8.1,75.0,680043,217.58
354,Slumdog Millionaire,2008,84.0,8.0,84.0,808965,141.32
355,Paddington 2,2017,88.0,7.8,88.0,65025,40.44
356,Night of the Living Dead,1968,89.0,7.9,89.0,118840,0.09
357,Beauty and the Beast,1991,95.0,8.0,95.0,422301,218.97
358,Who Framed Roger Rabbit,1988,83.0,7.7,83.0,185274,156.45
359,Moon,2009,67.0,7.8,67.0,340194,5.01
360,I Saw the Devil,2010,67.0,7.8,67.0,115390,0.13
361,The Fugitive,1993,87.0,7.8,87.0,272861,183.88
362,Misery,1990,75.0,7.8,75.0,189072,61.28
363,The Graduate,1967,83.0,8.0,83.0,257177,104.95
364,My Fair Lady,1964,95.0,7.8,95.0,88502,72.0
365,Princess Mononoke,1997,76.0,8.4,76.0,353441,2.38
366,Before Sunrise,1995,77.0,8.1,77.0,279573,5.54
367,Despicable Me,2010,72.0,7.6,72.0,508656,251.51
368,The Bourne Supremacy,2004,73.0,7.7,73.0,440525,176.24
369,Y Tu Mamá También,2001,88.0,7.6,88.0,117476,13.62
